therapist_name,sub_title,Bio,therapist_url,Specialty,style
Stephanie Shepard,"Therapist, Virtual","“Being a member of the LGBTQ+ community, I have done research on and take a special interest in the negative impacts on mental health for those who suffer from discriminating and internalizing symptoms related to their sexual orientation, identity,...”",https://care.headway.co/providers/stephanie-shepard?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Empowering', 'Humorous', 'Open-minded']"
Albert Xiong,"Therapist, Virtual","“In the (virtual) therapy room, you can expect me to be an animated and relatively lighthearted therapist; I pride myself on bringing my genuine self into our therapeutic relationship, and that's someone who's curious and playful.”",https://care.headway.co/providers/albert-xiong?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Grief or loss']","['Direct', 'Humorous', 'Warm']"
Margie Martin,"Therapist, Virtual & in-person","“I still consider it a rare privilege to sit with clients in this work, especially those carrying grief, navigating a shifting health picture, or trying to rebuild a relationship that no longer fits the life they want.”",https://care.headway.co/providers/margie-martin?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Grief or loss']","['Empowering', 'Inquisitive', 'Open-minded']"
Rachelle Bodle,"Therapist, Virtual","“I'm dedicated to cultivating positivity, strength, and resilience in my clients for a healthier, more balanced life.”",https://care.headway.co/providers/rachelle-bodle?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'PTSD', 'Trauma']","['Affirming', 'Empowering', 'Solution-oriented']"
Ashley Walay,"Therapist, Virtual","“You’re capable and use to managing a lot, but lately life feels overwhelming.I’m Ashley Walay, LICSW, and I work with BIPOC women and LGBTQ+ individuals, professionals, single parents, and military-connected individuals (including spouses, veterans,...”",https://care.headway.co/providers/ashley-walay?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Bipolar disorder', 'Depression']","['Direct', 'Holistic', 'Open-minded']"
Amber Boyd,"Therapist, Virtual","“I specialize in working with individuals who hold multiple intersecting identities, including Black, LGBTQ+, and other historically marginalized communities...”",https://care.headway.co/providers/amber-boyd-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Identity issues']","['Affirming', 'Challenging', 'Empowering']"
Kate Salami,"Therapist, Virtual","“I provide an inclusive, empathetic, and nonjudgmental space that welcomes people of all genders, sexual orientations, and religious backgrounds.”",https://care.headway.co/providers/kate-salami?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'Bipolar disorder', 'Depression']","['Empowering', 'Open-minded', 'Participatory']"
Almog Shanun,"Therapist, Virtual & in-person",,https://care.headway.co/providers/almog-shanun?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Challenging', 'Empowering', 'Holistic']"
Markos Karayianni,"Therapist, Virtual",“I believe that you are the expert of your story and that you have many strengths that will assist you in overcoming things that challenge you.”,https://care.headway.co/providers/markos-karayianni?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Identity issues', 'Relationship issues', 'Transgender issues']","['Affirming', 'Empowering', 'Warm']"
Lucas Dangler,"Therapist, Virtual","“I value lifelong learning, openness to new experiences, curiosity about the self and the world, and working to enhance our capacity for compassion for ourselves and others, individually and collectively.”",https://care.headway.co/providers/lucas-dangler?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Direct', 'Holistic', 'Open-minded']"
Priscilla Conkrite,"Therapist, Virtual","“My approach in therapy is client-centered and holistic, to help you identify your strengths and develop new skills and interventions to improve the quality of your daily living.”",https://care.headway.co/providers/priscilla-conkrite?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Affirming', 'Open-minded', 'Solution-oriented']"
Oscar Droege-Sanchez,"Therapist, Virtual","“I am a Licensed Clinical Social Worker (LCSW) and Certified Addiction Treatment Counselor-IV (CATC-IV) with experience working in mental health for the last 4 years and substance use treatment, including LGBTQIA(plus) affirming and dual-diagnosis...”",https://care.headway.co/providers/oscar-droege-sanchez?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Anxiety', 'Depression', ""Men's issues""]","['Affirming', 'Empowering', 'Open-minded']"
Hanna Jeong,"Therapist, Virtual",“I am especially passionate about validating and affirming the lived experiences of LGBTQIA+ and BIPOC communities.”,https://care.headway.co/providers/hanna-jeong?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Empowering', 'Holistic', 'Open-minded']"
Danielle Rhinesmith,"Therapist, Virtual","“Hello! My name is Danielle, and I have been a licensed Marriage and Family Therapist for over 10 years. Too often, we can become overwhelmed by the pressures of life, and that is where therapy can help. It may be time to prioritize your own mental...”",https://care.headway.co/providers/danielle-rhinesmith?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Affirming', 'Humorous', 'Open-minded']"
Julia Alperovich,"Therapist, Virtual",“I hold the belief that people are resilient and that they possess the strength and wisdom to heal seemingly irreparable wounds.”,https://care.headway.co/providers/julia-alperovich?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Family issues']","['Direct', 'Empowering', 'Participatory']"
Aurora Graham,"Therapist, Virtual","“Do you feel stuck or overwhelmed by circumstances that feel impossible? I help people get unstuck from what’s holding them back. My goal is for you to have more freedom and live an authentic, fulfilling life. We’ll work together to create a...”",https://care.headway.co/providers/aurora-graham?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Chronic conditions', 'Cultural & ethnic issues', 'Depression']","['Direct', 'Open-minded', 'Warm']"
Mark Casas,"Therapist, Virtual","“I believe everyone has the ability to heal and grow, and my role is to create a safe, affirming space where that process feels possible.”",https://care.headway.co/providers/mark-casas?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Affirming', 'Creative', 'Empowering']"
Emily McKillip,"Therapist, Virtual","“I am known for creating a warm, safe, and collaborative therapeutic space where clients feel seen, heard, and empowered to heal.”",https://care.headway.co/providers/emily-mckillip?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Relationship issues', 'Substance use / addiction']","['Holistic', 'Open-minded', 'Solution-oriented']"
Adrian Conner,"Therapist, Virtual",“I believe in meeting you where you are and helping you rewrite your story in a way that empowers you rather than defines you.”,https://care.headway.co/providers/adrian-conner?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Chronic conditions', 'Grief or loss', 'Identity issues']","['Affirming', 'Creative', 'Inquisitive']"
Avi Levin,"Therapist, Virtual",“It's within the potential space of the therapeutic experience that we can grow beyond our prior limitations.”,https://care.headway.co/providers/avi-levin?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'End of life care']","['Empowering', 'Open-minded', 'Warm']"
Paul Wensley,"Therapist, Virtual","“I use a compassionate, non-judgmental, understanding, strength based approach by acknowledging and welcoming your whole person - body mind and spirit.”",https://care.headway.co/providers/paul-wensley?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Bipolar disorder', 'Depression', 'Family issues']","['Creative', 'Holistic', 'Warm']"
Brooke Serrano,"Therapist, Virtual","“By using a client-centered approach, I focus on your individual goals and exactly what you want from therapy.”",https://care.headway.co/providers/brooke-serrano?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Cultural & ethnic issues', 'Depression']","['Affirming', 'Energetic', 'Warm']"
Georgette Greer-Brewer,"Therapist, Virtual","“Clients who work with me can expect a therapist who is warm, energetic, open-minded, and deeply dedicated—but also not afraid to challenge them when needed.”",https://care.headway.co/providers/georgette-greer-brewer?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Identity issues']","['Empowering', 'Energetic', 'Warm']"
Melanie Moir,"Therapist, Virtual",“I specialize in Depth Psychotherapy using a wide array of therapeutic modalities for each unique client.”,https://care.headway.co/providers/melanie-moir?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Chronic conditions', 'Cultural & ethnic issues', 'Depression']","['Empowering', 'Holistic', 'Warm']"
Brittany Crew,"Therapist, Virtual","“I use CBT, DBT, and client-centered therapy to help you better understand what you are feeling, strengthen coping skills, and manage daily life with more confidence and stability.”",https://care.headway.co/providers/brittany-crew?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Identity issues']","['Challenging', 'Open-minded', 'Solution-oriented']"
Jeana Owens,"Therapist, Virtual","“I am a trauma therapist with special interests in neurodiversity, LGBTQ+ issues, religious trauma, and grief.”",https://care.headway.co/providers/jeana-owens?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'End of life care']","['Affirming', 'Empowering', 'Warm']"
Coriann Papazian,"Therapist, Virtual",“I see myself as a highly invested and intentional therapist that strives to collaborate with my clients to work towards their goals.”,https://care.headway.co/providers/coriann-papazian?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Identity issues', 'PTSD']","['Affirming', 'Participatory', 'Warm']"
Veronica Dobson,"Psychologist, Virtual","“My work is grounded in expertise in human sexuality, women's and men's issues, and a deep commitment to being both LGBTQIA+ affirming and religiously affirming.”",https://care.headway.co/providers/veronica-dobson?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Family issues', 'Identity issues', 'Infertility', 'Maternal mental health']","['Direct', 'Open-minded', 'Solution-oriented']"
Cylystina Nevel,"Therapist, Virtual","“Some seasons of life ask more of you than you ever expected, and somewhere along the way you stopped feeling like yourself. I work with teens, parents, and adults who are moving through anxiety, depression, grief, relationship strain, and the heavy...”",https://care.headway.co/providers/cylystina-nevel?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Affirming', 'Humorous', 'Open-minded']"
Stephanie Carneiro,"Therapist, Virtual","“I use strength-based, trauma-informed and client-centered methodologies. My style is rooted in respect and cultural competence.”",https://care.headway.co/providers/stephanie-carneiro?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'End of life care']","['Empowering', 'Open-minded', 'Warm']"
Jacob Grant,"Therapist, Virtual & in-person","“I am a Licensed Therapist trained in EMDR, TFCBT, Art Therapy, and currently pursuing certification in Somatic Therapy.”",https://care.headway.co/providers/jacob-grant?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Empowering', 'Holistic', 'Warm']"
Wyatt Okeefe,"Therapist, Virtual","“I am a transmasc, queer therapist. My ongoing, personal journey of exploration definitely informs my work as a psychotherapist.I’ve been working as a mental health professional for over two decades,I have been helping people navigate systems and...”",https://care.headway.co/providers/wyatt-okeefe?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Bipolar disorder', 'Cultural & ethnic issues']","['Affirming', 'Empowering', 'Warm']"
Dr. Gina Albani,"Psychologist, Virtual","“My goal is simply to create a space where you feel comfortable to be open about what's hurting, what isn't working, and what you're hoping for.”",https://care.headway.co/providers/gina-albani-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Affirming', 'Open-minded', 'Warm']"
Jennifer Jeter,"Therapist, Virtual","“I have been a licensed Marriage and Family Therapist, working with individuals and couples for over 25 years. I believe strongly in the benefits of processing the challenges of life with a supportive and open-minded ""witness"" in order to get...”",https://care.headway.co/providers/jennifer-jeter?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Affirming', 'Open-minded', 'Warm']"
Isobel Marcus,"Therapist, Virtual","“My style is grounded in humor, honesty, and authenticity. I believe therapy works best when there's trust and a good client-therapist fit.”",https://care.headway.co/providers/isobel-marcus?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Grief or loss', 'Identity issues', 'Infertility']","['Affirming', 'Empowering', 'Humorous']"
Drake Schoeppl,"Therapist, Virtual","“I am trained in EMDR, a modality used to help process traumatic memories and the cognitions associated with them.”",https://care.headway.co/providers/drake-schoeppl-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Bipolar disorder', 'Cultural & ethnic issues', 'Family issues']","['Affirming', 'Challenging', 'Open-minded']"
Kate Vasquez,"Therapist, Virtual","“My name is Kate Vasquez, and I’m a licensed marriage and family therapist. I work with adults and older adults who are navigating depression, anxiety, post‐traumatic stress, and LGBTQ+ experiences.”",https://care.headway.co/providers/kate-vasquez?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Family issues']","['Affirming', 'Open-minded', 'Participatory']"
Imani Francis,"Therapist, Virtual","“As a Black cisgender woman, I bring lived experience and genuine cultural understanding to my work — especially with BIPOC clients, women of color, and LGBTQIA+ individuals who are looking for a therapist who truly gets it without needing an...”",https://care.headway.co/providers/imani-francis-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'Family issues']","['Empowering', 'Holistic', 'Humorous']"
Chelsey West,"Therapist, Virtual","“I use a blend of CBT, DBT, and ACT to help you build practical skills while also exploring the deeper patterns that may be holding you back.”",https://care.headway.co/providers/chelsey-west?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Bipolar disorder', 'Cultural & ethnic issues']","['Challenging', 'Humorous', 'Warm']"
Dr. Alexis Wong,"Psychologist, Virtual","“My hope is that sessions with me are warm, challenging, thought-provoking and thoughtful, so expect sessions to include tears, laughter and profound moments of appreciation for life, its difficulties and rewards.”",https://care.headway.co/providers/alexis-wong?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anger management', 'Bipolar disorder', 'Cultural & ethnic issues', 'Depression']","['Empowering', 'Inquisitive', 'Warm']"
Mariah Larkin,"Therapist, Virtual",“I think a collaborative approach is very effective. We both bring strengths and vulnerabilities to the work.”,https://care.headway.co/providers/mariah-larkin?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Cultural & ethnic issues', 'Depression', 'End of life care']","['Affirming', 'Empowering', 'Warm']"
Jessica Gomez,"Therapist, Virtual","“I utilize a variety of therapeutic modalities to ensure that each client's unique needs are met, recognizing that no single approach fits all.”",https://care.headway.co/providers/jessica-gomez-3?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Identity issues']","['Affirming', 'Open-minded', 'Warm']"
Elaine Zaragoza,"Therapist, Virtual","“I hold a Bachelor's degree in Psychology and a Master's degree in Social Work. I am a Licensed Clinical Social Worker (LCSW), with extensive experience in both community settings and private practice. I specialize in supporting women through the...”",https://care.headway.co/providers/elaine-zaragoza-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Bipolar disorder', 'Cultural & ethnic issues', 'Depression']","['Affirming', 'Empowering', 'Warm']"
Summer Sanders,"Therapist, Virtual","“I am a warm therapist who values deep listening and genuine connection. My approach is person-centered; attentive, collaborative, and grounded in compassion.”",https://care.headway.co/providers/summer-sanders?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Family issues', 'Grief or loss', 'Identity issues', 'Maternal mental health']","['Creative', 'Empowering', 'Open-minded']"
Tiera Couch,"Therapist, Virtual",“I founded my practice to offer an unfiltered space to be unapologetic and unlearn harmful thoughts and patterns that impact living a full life.”,https://care.headway.co/providers/tiera-couch?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Depression', 'Relationship issues', 'Trauma', ""Women's issues""]","['Challenging', 'Empowering', 'Open-minded']"
Jake Ferrante,"Therapist, Virtual",“I believe therapy isn't about giving you the answers—it's about guiding you to find them within yourself.”,https://care.headway.co/providers/jake-ferrante?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Affirming', 'Direct', 'Open-minded']"
Mercy Flores Isaac,"Therapist, Virtual","“I'm direct, warm, and genuinely collaborative. I don't believe in a one-size-fits-all approach to therapy, so I'll adapt our work to what actually fits your life, your pace, and your goals.”",https://care.headway.co/providers/mercy-flores-isaac?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'Anxiety', 'Depression', 'Family issues', 'Grief or loss']","['Direct', 'Solution-oriented', 'Warm']"
Mallory Garrett,"Therapist, Virtual",“My therapeutic approach centers on meeting you where you are and fostering a collaborative environment to address the issues causing you distress.”,https://care.headway.co/providers/mallory-garrett-2?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Depression', 'Diabetes']","['Affirming', 'Creative', 'Inquisitive']"
Xiomara Morales,"Therapist, Virtual","“I believe healing occurs when we address the connection between the mind, body, nervous system, and spirit while building on each person's existing strengths and resilience.”",https://care.headway.co/providers/xiomara-morales?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anxiety', 'Bipolar disorder', 'Cultural & ethnic issues']","['Direct', 'Empowering', 'Holistic']"
Brian Wolfe,"Therapist, Virtual","“I do enjoy working with engaged individuals, teenagers, couples and families interested in learning more about themselves and their relationships in the world.”",https://care.headway.co/providers/brian-wolfe?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Creative', 'Open-minded', 'Solution-oriented']"
Dr. John W. Carter,"Psychologist, Virtual & in-person","“I am a recently licensed counseling psychologist with extensive training and experience in psychotherapy, assessment, and psychology research. I have provided individual, couples, and group therapy at the Los Angeles Gay & Lesbian Center (now LGBT...”",https://care.headway.co/providers/john-w-carter?preferredCarrierId=61&state=CALIFORNIA&lat=32.7742488&lon=-117.1411815,"['Matches your filter: LGBTQIA+', 'ADD/ADHD', 'Anger management', 'Anxiety', 'Bipolar disorder']","['Direct', 'Empowering', 'Open-minded']"
